frame,track,x,y,width,height,angle,n,ignore,track_fixed,linear_speed,heading,angular_speed
2,1,954.479069767442,668.66511627907,15.1687030890487,18.1809321268119,67.9615228992077,215,False,1,,,
3,1,954.644230769231,668.514423076923,14.820858071073,17.9659463476681,50.9345872661963,208,False,1,0.2235768272547024,-0.7396248485059254,
4,1,954.75,668.783898305085,15.9937858344797,18.8034640337324,35.6211620761632,236,False,1,0.2894892550172796,1.196771485597472,1.9363963341033976
5,1,954.735426008969,668.632286995516,15.7729847866704,18.0438293920209,31.842867040734,223,False,1,0.1523101782672809,-1.6666292048069056,-2.8634006904043776
6,1,954.947867298578,667.909952606635,15.4322712406041,17.4400457296691,24.1561296506665,211,False,1,0.7529264711051372,-1.2847576284773279,0.3818715763295777
7,1,954.913043478261,667.840579710145,15.1441083846567,17.3912869966941,10.1362315244505,207,False,1,0.07762278807722836,-2.036026839100747,-0.7512692106234193
8,1,954.75355450237,667.293838862559,15.3247447095843,17.5891208441742,179.342394643297,211,False,1,0.5695281273561322,-1.8546290285331586,0.18139781056758864
9,1,955.625,666.86328125,17.0567660615938,19.1266870956378,146.085264482075,256,False,1,0.9720067453840862,-0.45889470401498406,1.395734324518175
10,1,955.666666666667,667.027450980392,16.7811514497828,19.3759296745278,148.22782294524,255,False,1,0.16937476638544574,1.3222421765774717,1.781136880592456
11,1,955.537254901961,666.905882352941,16.968819591083,19.1490830485613,147.80170931895,255,False,1,0.17755657133610986,-2.3874343236230233,2.573508806979091
12,1,955.094650205761,666.695473251029,16.3961598185616,18.9039083262881,140.242085243485,243,False,1,0.4900723490115677,-2.6978275325014858,-0.31039320887846245
13,1,954.847457627119,666.389830508475,16.3745814844679,18.4147546141624,125.859966399438,236,False,1,0.393092428077148,-2.2508578417676386,0.4469696907338472
14,1,954.410569105691,665.979674796748,16.9241161889036,18.4939201117081,110.115027274159,246,False,1,0.5992489366013106,-2.387744128689307,-0.13688628692166827
15,1,954.072,665.956,17.0704635621907,18.6420319110315,84.0638276161655,250,False,1,0.3393958387038296,-3.0717802519305373,-0.6840361232412304
16,1,953.637860082305,665.765432098766,16.9165767139276,18.2845291048514,68.3648416392539,243,False,1,0.4741240271457979,-2.727961592468669,0.3438186594618684
17,1,953.199152542373,665.618644067797,16.4380295731823,18.3076121186643,51.9433937554298,236,False,1,0.46261326356790805,-2.8187097318362957,-0.09074813936762682
18,1,952.780082987552,665.41908713693,16.5120711380022,18.6111083907144,53.8784202968987,241,False,1,0.46415758146880476,-2.6971734436888735,0.12153628814742223
19,1,952.292887029289,665.481171548117,16.4592312097702,18.5074910861544,45.8525334797972,239,False,1,0.49113580185141115,3.0148436827696043,-0.5711681807211093
20,1,952.0,665.634453781513,16.1578986896232,18.7467273814695,34.0993451446592,238,False,1,0.33057261683416456,2.6594405321628685,-0.3554031506067359
21,1,951.26724137931,665.612068965517,16.1056979146947,18.3553269807113,29.7166111361175,232,False,1,0.733100454359889,-3.1110534611151444,0.5126913139015734
22,1,950.887445887446,666.025974025974,15.9374211667502,18.4822791102909,20.8312170006371,231,False,1,0.5617490673888016,2.3132455556700604,-0.8588862903943806
23,1,950.626666666667,666.506666666667,15.8414424135213,18.0781068340558,17.7943103393722,225,False,1,0.5468740410793553,2.0678687170071406,-0.24537683866291982
24,1,950.248888888889,666.64,15.7634540070185,18.1677341647822,13.4118719832383,225,False,1,0.40061680838494795,2.8023000391367243,0.7344313221295837
25,1,950.221238938053,666.924778761062,15.8387257668086,18.2086002493902,176.838464905251,226,False,1,0.28611791718323737,1.6675856853887776,-1.1347143537479467
26,1,950.148648648649,667.301801801802,16.0683571434822,17.6215643249676,157.349436014736,222,False,1,0.38394755288259647,1.761004211357041,0.09341852596826339
27,1,949.633928571428,667.633928571429,15.6286164242257,18.2921004945074,151.368050551453,224,False,1,0.6125724030653791,2.568558882769147,0.807554671412106
